question,answer,category
"Я потерял данные для входа в личный кабинет, что делать?","Для восстановления учетных данных (логин/пароль) Вы можете обратиться лично в Студенческий офис (каб.107). Для удалённого восстановления Вы можете воспользоваться функцией сброса пароля с помощью кнопки «Забыли логин и пароль». При возникновении трудностей, необходимо написать заявку в Центр поддержки",support-login
"Доступ к учебным материалам в личном кабинете заблокирован, что делать?","Необходимо убедиться в отсутствии финансовой задолженности в разделе «Финансовый отчет» в личном кабинете. Если задолженности нет, необходимо написать заявку в Центр поддержки",support-access
"Что такое «Почта студента»?","Данный почтовый адрес используется Университетом для связи с Вами – отправки официальных извещений. Чтобы зайти в почту студента, в Вашем личном кабинете в левом меню выберите раздел «Почта студента». В этом момент Вы будете автоматически перенаправлены на сервис Google (если у Вас уже есть личная почта на этом сервисе, из неё нужно выйти). Логин и пароль от почты студента такие же, как для входа в личной кабинет.",email-support
"Я не могу зайти на почту, выскакивает сообщение «Неправильный логин или пароль»","Если данный логин и пароль подходит к другим сервисам Университета, но при этом не открывает почту, возможно, при вводе логина Вы не указали расширение @online.muiv.ru. Внесите эти данные после цифрового значения и попробуйте еще раз. Если проблема сохранилась, необходимо написать заявку в Центр поддержки",email-support
"Когда нужно оплачивать за обучение в следующем семестре?","Порядок и сроки оплаты обучения определены Вашим договором, внимательно прочтите его.\nСогласно договору, оплатить обучение необходимо не позднее 30 декабря (за весенний семестр) и 30 мая (за осенний семестр).\nКвитанции на оплату в обязательном порядке рассылаются всем студентам Университета до начала семестра. Кроме этого квитанцию возможно получить следующими способами:\n- в личном кабинете в левом меню раздел «Оплата обучения», в нем можно сформировать квитанцию самостоятельно и оплатить обучение он-лайн.\n- через заявку в Центр поддержки;\n- при личном обращении в студенческий офис (107 каб.)",payment-deadline
"Может ли измениться стоимость обучения?","В договоре об оказании платных образовательных услуг по основным профессиональным программам высшего образования/ программам среднего профессионального образования в разделе «Стоимость и порядок оплаты услуг», указано, что Исполнитель вправе на основании п. 3 ст.54 № 273-ФЗ от 29.12.2012г. «Об образовании в Российской Федерации» увеличить стоимость платных образовательных услуг с учетом уровня инфляции, предусмотренного основными характеристиками федерального бюджета на очередной финансовый год и плановый период, от стоимости, оплаченной Обучающимся за предыдущий период обучения Обучающегося в рамках календарного года.",payment-tuition-changes
"Куда обратиться для получения скидки на оплату обучения?","Для получения скидки необходимо строго до начала семестра представить на рассмотрение заявление с соответствующим пакетом документов. Представление документов возможно лично в студенческом офисе (107 каб.) или через заявку в Центре поддержки.\nО размере представленной скидки и сроках её действия Вы можете уточнить у менеджера студенческого офиса. Если заявление было направлено через заявку в Центре поддержки, то информацию о предоставленной скидке Вы получите в ответе на свой запрос.\nВНИМАНИЕ! Скидка предоставляется на 1 семестр, поэтому подавать документы необходимо перед началом каждого семестра.",payment-discount
"Если я получил уведомление о наличии задолженности по оплате?","Финансовая задолженность может стать основанием для отчисления. При получении уведомления уточнить дальнейшие действия необходимо через Центр Поддержки.",payment-finance-debt
"Как мне проверить есть ли у меня финансовая задолженность?","Вам необходимо зайти в личный кабинет и в разделе «Оплата обучения» сформировать финансовый отчет. В финансовом отчете отображены все денежные поступления и текущая финансовая задолженность (при наличии). Если у Вас обнаружилась финансовая задолженность, с которой Вы не согласны, Вам необходимо через заявку Центр Поддержки прислать скан-копии всех оплаченных квитанций.",payment-finance-debt
"У меня была финансовая задолженность, и мне заблокирован доступ к личному кабинету. Я уже оплатил задолженность, как быстро мне будет разблокирован доступ?","Доступ к учебным материалам в личном кабинете открывается автоматически при полностью оплаченном обучении за текущий семестр. Если оплата была произведена в кассе Университета, то сумма сразу поступает на счет, доступ разблокируется в течение суток. Если оплату производилась через отделение банка или по безналичному переводу, срок поступления средств может достигать двух недель. Просим Вас своевременно оплачивать обучение (не позднее 30 декабря за весенний семестр и 30 мая за осенний семестр).",payment-finance-debt
